5,0,135.00,5.10
10,0,18.80,1.80
15,0,5.36,0.32
20,0,2.32,0.07
25,0,1.18,0.06
30,0,0.68,0.03
35,0,0.42,0.03
40,0,0.29,0.20
5,15,68.80,67.00
10,15,15.60,8.40
15,15,5.04,1.70
20,15,2.04,0.79
25,15,1.08,0.43
30,15,0.57,0.26
35,15,0.38,0.14
40,15,0.24,0.12
5,30,26.40,76.00
10,30,9.44,12.20
15,30,3.20,3.45
20,30,1.33,1.40
25,30,0.76,0.76
30,30,0.39,0.49
35,30,0.23,0.29
40,30,0.16,0.19
5,45,7.40,54.00
10,45,3.00,13.50
15,45,0.96,3.88
20,45,0.52,1.50
25,45,0.42,0.94
30,45,0.16,0.50
35,45,0.13,0.34
40,45,0.05,0.23
5,60,2.44,37.60
10,60,2.96,10.60
15,60,0.80,3.60
20,60,0.25,1.53
25,60,0.13,0.86
30,60,0.07,0.47
35,60,0.07,0.30
40,60,0.05,0.21
5,75,18.80,26.40
10,75,6.00,7.04
15,75,2.20,1.44
20,75,0.85,0.96
25,75,0.51,0.57
30,75,0.28,0.29
35,75,0.19,0.20
40,75,0.12,0.14
5,90,31.60,14.00
10,90,8.48,2.32
15,90,2.84,0.62
20,90,1.18,0.30
25,90,0.67,0.17
30,90,0.36,0.07
35,90,0.25,0.05
40,90,0.17,0.03
